1, 2023, 1, 5, 6, 7, 8, 9
2, 2023, 1, 10, 6, 7, 6, 8
3, 2023, 1, 10, 5, 5, 4, 6
4, 2023, 1, 5, 7, 5, 6, 4
5, 2023, 1, 2, 6, 4, 9, 2
6, 2023, 1, 8, 4, 3, 5, 1
7, 2023, 1, 7, 10, 6, 6, 8
8, 2023, 1, 9, 10, 7, 5, 6
9, 2023, 1, 4, 5, 10, 6, 10
10, 2023, 1, 10, 10, 10, 10, 10
11, 2023, 1, 6, 7, 8, 9, 5
12, 2023, 1, 7, 8, 9, 5, 6
13, 2023, 1, 8, 9, 5, 6, 7
14, 2023, 1, 9, 5, 6, 7, 8
15, 2023, 1, 5, 6, 7, 8, 9
16, 2023, 1, 6, 7, 8, 9, 5
17, 2023, 1, 7, 8, 9, 5, 6
18, 2023, 1, 8, 9, 5, 6, 7
19, 2023, 1, 9, 5, 6, 7, 8
20, 2023, 1, 5, 6, 7, 8, 9
21, 2023, 1, 6, 7, 8, 9, 5
22, 2023, 1, 7, 8, 9, 5, 6
23, 2023, 1, 8, 9, 5, 6, 7
24, 2023, 1, 9, 5, 6, 7, 8
25, 2023, 1, 5, 6, 7, 8, 9
26, 2023, 1, 6, 7, 8, 9, 5
27, 2023, 1, 7, 8, 9, 5, 6
28, 2023, 1, 8, 9, 5, 6, 7
29, 2023, 1, 9, 5, 6, 7, 8
30, 2023, 1, 5, 6, 7, 8, 9
31, 2023, 1, 6, 7, 8, 9, 5
32, 2023, 1, 7, 8, 9, 5, 6
33, 2023, 1, 8, 9, 5, 6, 7
34, 2023, 1, 9, 5, 6, 7, 8
35, 2023, 1, 5, 6, 7, 8, 9
36, 2023, 1, 6, 7, 8, 9, 5
37, 2023, 1, 7, 8, 9, 5, 6
38, 2023, 1, 8, 9, 5, 6, 7
39, 2023, 1, 9, 5, 6, 7, 8
40, 2023, 1, 5, 6, 7, 8, 9
41, 2023, 1, 6, 7, 8, 9, 5
42, 2023, 1, 7, 8, 9, 5, 6
43, 2023, 1, 8, 9, 5, 6, 7
44, 2023, 1, 9, 5, 6, 7, 8
45, 2023, 1, 5, 6, 7, 8, 9
